date yyyy-mm-dd,numdate,measles
1901-10-5,1901.7616,48
1901-10-12,1901.7808,71
1901-10-19,1901.8,56
1901-10-26,1901.8192,130
1901-11-2,1901.8384,152
1901-11-9,1901.8575,172
1901-11-16,1901.8767,277
1901-11-23,1901.8959,316
1901-11-30,1901.9151,427
1901-12-7,1901.9342,547
1901-12-14,1901.9534,596
1901-12-21,1901.9726,659
1901-12-28,1901.9918,601
1902-1-4,1902.011,702
1902-1-11,1902.0301,872
1902-1-18,1902.0493,689
1902-1-25,1902.0685,829
1902-2-1,1902.0877,706
1902-2-8,1902.1068,891
1902-2-15,1902.126,962
1902-2-22,1902.1452,989
1902-3-1,1902.1644,1105
1902-3-8,1902.1836,996
1902-3-15,1902.2027,850
1902-3-22,1902.2219,814
1902-3-29,1902.2411,687
1902-4-5,1902.2603,614
1902-4-12,1902.2795,639
1902-4-19,1902.2986,584
1902-4-26,1902.3178,480
1902-5-3,1902.337,612
1902-5-10,1902.3562,450
1902-5-17,1902.3753,582
1902-5-24,1902.3945,564
1902-5-31,1902.4137,545
1902-6-7,1902.4329,532
1902-6-14,1902.4521,430
1902-6-21,1902.4712,363
1902-6-28,1902.4904,250
1902-7-5,1902.5096,217
1902-7-12,1902.5288,230
1902-7-19,1902.5479,201
1902-7-26,1902.5671,151
1902-8-2,1902.5863,98
1902-8-9,1902.6055,119
1902-8-16,1902.6247,87
1902-8-23,1902.6438,63
1902-8-30,1902.663,59
1902-9-6,1902.6822,44
1902-9-13,1902.7014,47
1902-9-20,1902.7205,27
1902-9-27,1902.7397,37
1902-10-4,1902.7589,47
1902-10-11,1902.7781,45
1902-10-18,1902.7973,43
1902-10-25,1902.8164,53
1902-11-1,1902.8356,60
1902-11-8,1902.8548,51
1902-11-15,1902.874,92
1902-11-22,1902.8932,95
1902-11-29,1902.9123,132
1902-12-6,1902.9315,160
1902-12-13,1902.9507,163
1902-12-20,1902.9699,145
1902-12-27,1902.989,127
1903-1-3,1903.0082,118
1903-1-10,1903.0274,120
1903-1-17,1903.0466,165
1903-1-24,1903.0658,158
1903-1-31,1903.0849,164
1903-2-7,1903.1041,203
1903-2-14,1903.1233,190
1903-2-21,1903.1425,190
1903-2-28,1903.1616,234
1903-3-7,1903.1808,225
1903-3-14,1903.2,290
1903-3-21,1903.2192,247
1903-3-28,1903.2384,314
1903-4-4,1903.2575,285
1903-4-11,1903.2767,227
1903-4-18,1903.2959,298
1903-4-25,1903.3151,283
1903-5-2,1903.3342,286
1903-5-9,1903.3534,314
1903-5-16,1903.3726,392
1903-5-23,1903.3918,448
1903-5-30,1903.411,356
1903-6-6,1903.4301,471
1903-6-13,1903.4493,413
1903-6-20,1903.4685,331
1903-6-27,1903.4877,403
1903-7-4,1903.5068,360
1903-7-11,1903.526,387
1903-7-18,1903.5452,356
1903-7-25,1903.5644,247
